[2026-02-09 22:30] TITLE: Test Missing Paper (Drop any PDF in library to clear me) | DOI: 10.1234/test.pdf
[2026-02-09 22:37] TITLE: Realistic Approach towards Quantitative Analysis and Simulation of EEHC-Based Routing for Wireless Sensor Networks | DOI: http://arxiv.org/abs/1002.1151v1
[2026-02-09 22:37] TITLE: Why Machine Learning Integrated Patient Flow Simulation? | DOI: http://arxiv.org/abs/2104.08203v1
[2026-02-09 22:37] TITLE: Social Simulacra: Creating Populated Prototypes for Social Computing Systems | DOI: http://arxiv.org/abs/2208.04024v1
[2026-02-09 22:37] TITLE: Modelling Reactive and Proactive Behaviour in Simulation | DOI: http://arxiv.org/abs/1006.3652v1
[2026-02-09 22:37] TITLE: Simulacra as Conscious Exotica | DOI: http://arxiv.org/abs/2402.12422v2
[2026-02-09 22:38] TITLE: Investigating Output Accuracy for a Discrete Event Simulation Model and an Agent Based Simulation Model | DOI: http://arxiv.org/abs/1003.4141v1
[2026-02-09 22:38] TITLE: Optimisation of a Crossdocking Distribution Centre Simulation Model | DOI: http://arxiv.org/abs/1003.3775v1
[2026-02-09 22:38] TITLE: Navigating Surveillance Capitalism: A Critical Analysis through philosophical perspectives in Computer Ethics | DOI: http://arxiv.org/abs/2305.03787v1
[2026-02-09 22:38] TITLE: Personal autonomy and surveillance capitalism: possible future developments | DOI: http://arxiv.org/abs/2302.08946v1
[2026-02-09 22:38] TITLE: On the Role of Identity in Surveillance | DOI: http://arxiv.org/abs/1408.3438v1
[2026-02-09 22:39] TITLE: Surveilling Surveillance: Estimating the Prevalence of Surveillance Cameras with Street View Data | DOI: http://arxiv.org/abs/2105.01764v3
[2026-02-09 22:39] TITLE: An Empirical Inquiry into Surveillance Capitalism: Web Tracking | DOI: http://arxiv.org/abs/2508.07454v2
[2026-02-09 22:39] TITLE: Simulated Affection, Engineered Trust: How Anthropomorphic AI Benefits Surveillance Capitalism | DOI: http://arxiv.org/abs/2511.06472v1
[2026-02-09 22:39] TITLE: SOVABench: A Vehicle Surveillance Action Retrieval Benchmark for Multimodal Large Language Models | DOI: http://arxiv.org/abs/2601.04824v2
[2026-02-09 22:39] TITLE: Person Re-identification for Real-world Surveillance Systems | DOI: http://arxiv.org/abs/1607.05975v1
